+--------------------------------------------------------------------------------+--------+
|                                   Base Path                                    | Amount |
|                    /data4/paper/2014EoR/pot2/data2/2456871                     |   24   |
|                    /data4/paper/2014EoR/pot2/data2/2456881                     |   30   |
|                    /data4/paper/2014EoR/pot2/data2/2456896                     |   48   |
|                    /data4/paper/2014EoR/pot2/data2/2456901                     |   56   |
|                    /data4/paper/2014EoR/pot2/data2/2456906                     |   64   |
|                    /data4/paper/2014EoR/pot2/data2/2456911                     |   72   |
|                    /data4/paper/2014EoR/pot2/data2/2456916                     |   80   |
|                    /data4/paper/2014EoR/pot2/data2/2456921                     |   84   |
|                    /data4/paper/2014EoR/pot2/data2/2456926                     |   84   |
|                    /data4/paper/2014EoR/pot2/data2/2456946                     |   25   |
|                    /data4/paper/2014EoR/pot2/data2/2456951                     |   84   |
