+-----+------------+----------------------------------------------------+----------------------------------------------+-------------+--------+
| Era | Julian Day |                      Raw Path                      |               Compressed Path                | Type(R/C/B) | Amount |
|  64 |    6230    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6230/ |      C      |   73   |
|  64 |    6230    |                        NULL                        |    node16:/mnt/JamesMadison/data/psa6230/    |      C      |   2    |
|  64 |    6231    |                        NULL                        |    node16:/mnt/JamesMadison/data/psa6231/    |      C      |   1    |
|  64 |    6232    |   node16:/mnt/WilliamHenryHarrison/data/psa6232/   |                     NULL                     |      R      |   57   |
|  64 |    6240    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6240/ |      C      |   65   |
|  64 |    6242    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6242/ |      C      |   57   |
|  64 |    6243    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6243/ |      C      |   63   |
|  64 |    6244    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6244/ |      C      |   57   |
|  64 |    6245    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6245/ |      C      |   70   |
|  64 |    6246    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6246/ |      C      |   70   |
|  64 |    6247    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6247/ |      C      |   70   |
|  64 |    6248    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6248/ |      C      |   70   |
|  64 |    6249    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6249/ |      C      |   68   |
|  64 |    6250    |     node16:/mnt/WilliamHenryHarrison/psa6250/      |                     NULL                     |      R      |   1    |
|  64 |    6250    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6250/ |      C      |   67   |
|  64 |    6251    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6251/ |      C      |   70   |
|  64 |    6252    |     node16:/mnt/WilliamHenryHarrison/psa6252/      | folio:/data4/paper/2012EoR/psa_live/psa6252/ |      B      |   70   |
|  64 |    6252    |     node16:/mnt/WilliamHenryHarrison/psa6252/      |                     NULL                     |      R      |   2    |
|  64 |    6253    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6253/ |      C      |   66   |
|  64 |    6254    |     node16:/mnt/WilliamHenryHarrison/psa6254/      | folio:/data4/paper/2012EoR/psa_live/psa6254/ |      B      |   70   |
|  64 |    6254    |     node16:/mnt/WilliamHenryHarrison/psa6254/      |                     NULL                     |      R      |   2    |
|  64 |    6255    |                        NULL                        | folio:/data4/paper/2012EoR/psa_live/psa6255/ |      C      |   69   |
